noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
candy,person,bled,MID,physical,The person began to,The candy began to,The person bled and began to,The candy fell and began to,The candy bled and began to,0,VERB
bomb,person,answered,HIGH,psychological,The person started to,The bomb started to,The person answered and started to,The bomb fell and started to,The bomb answered and started to,1,VERB
glove,woman,prayed,HIGH,psychological,The woman started to,The glove started to,The woman prayed and started to,The glove fell and started to,The glove prayed and started to,1,VERB
van,boy,danced,HIGH-MID,physical,The boy started to,The van started to,The boy danced and started to,The van fell and started to,The van danced and started to,1,VERB
door,person,exclaimed,HIGH,psychological,The person became very,The door became very,The person exclaimed and became very,The door fell and became very,The door exclaimed and became very,3,ADJ
lantern,person,consented,HIGH-MID,psychological,The person was very,The lantern was very,The person consented and was very,The lantern fell and was very,The lantern consented and was very,2,ADJ
universe,man,consented,HIGH-MID,psychological,The man became very,The universe became very,The man consented and became very,The universe fell and became very,The universe consented and became very,3,ADJ
sculpture,child,crawled,HIGH-MID,physical,The child became very,The sculpture became very,The child crawled and became very,The sculpture fell and became very,The sculpture crawled and became very,3,ADJ
ribbon,man,commented,HIGH-MID,psychological,The man was very,The ribbon was very,The man commented and was very,The ribbon fell and was very,The ribbon commented and was very,2,ADJ
stick,boy,smiled,HIGH,physical,The boy became very,The stick became very,The boy smiled and became very,The stick fell and became very,The stick smiled and became very,3,ADJ
knife,boy,glared,HIGH,physical,The boy started to,The knife started to,The boy glared and started to,The knife fell and started to,The knife glared and started to,1,VERB
boat,man,chuckled,HIGH,physical,The man became very,The boat became very,The man chuckled and became very,The boat fell and became very,The boat chuckled and became very,3,ADJ
bagpipe,girl,trained,HIGH-MID,psychological,The girl began to,The bagpipe began to,The girl trained and began to,The bagpipe fell and began to,The bagpipe trained and began to,0,VERB
pistol,person,applauded,HIGH-MID,psychological,The person began to,The pistol began to,The person applauded and began to,The pistol fell and began to,The pistol applauded and began to,0,VERB
pillow,person,drank,HIGH,physical,The person was very,The pillow was very,The person drank and was very,The pillow fell and was very,The pillow drank and was very,2,ADJ
zipper,child,stole,HIGH-MID,psychological,The child started to,The zipper started to,The child stole and started to,The zipper fell and started to,The zipper stole and started to,1,VERB
cart,person,fainted,HIGH,physical,The person began to,The cart began to,The person fainted and began to,The cart fell and began to,The cart fainted and began to,0,VERB
pie,boy,struggled,HIGH-MID,psychological,The boy started to,The pie started to,The boy struggled and started to,The pie fell and started to,The pie struggled and started to,1,VERB
mallet,woman,shouted,HIGH,physical,The woman became very,The mallet became very,The woman shouted and became very,The mallet fell and became very,The mallet shouted and became very,3,ADJ
tape,man,argued,HIGH-MID,psychological,The man began to,The tape began to,The man argued and began to,The tape fell and began to,The tape argued and began to,0,VERB
sandal,man,pounced,HIGH-MID,physical,The man became very,The sandal became very,The man pounced and became very,The sandal fell and became very,The sandal pounced and became very,3,ADJ
violin,woman,invested,MID,psychological,The woman became very,The violin became very,The woman invested and became very,The violin fell and became very,The violin invested and became very,3,ADJ
book,person,preached,HIGH,psychological,The person started to,The book started to,The person preached and started to,The book fell and started to,The book preached and started to,1,VERB
blossom,person,omitted,HIGH,physical,The person began to,The blossom began to,The person omitted and began to,The blossom fell and began to,The blossom omitted and began to,0,VERB
shawl,child,chuckled,HIGH,physical,The child became very,The shawl became very,The child chuckled and became very,The shawl fell and became very,The shawl chuckled and became very,3,ADJ
photograph,boy,snored,HIGH,physical,The boy began to,The photograph began to,The boy snored and began to,The photograph fell and began to,The photograph snored and began to,0,VERB
shirt,girl,yelled,HIGH,physical,The girl started to,The shirt started to,The girl yelled and started to,The shirt fell and started to,The shirt yelled and started to,1,VERB
glove,boy,cursed,HIGH,psychological,The boy began to,The glove began to,The boy cursed and began to,The glove fell and began to,The glove cursed and began to,0,VERB
hairpin,girl,remembered,HIGH,psychological,The girl was very,The hairpin was very,The girl remembered and was very,The hairpin fell and was very,The hairpin remembered and was very,2,ADJ
clarinet,girl,visited,HIGH,psychological,The girl became very,The clarinet became very,The girl visited and became very,The clarinet fell and became very,The clarinet visited and became very,3,ADJ
block,person,shouted,HIGH,physical,The person became very,The block became very,The person shouted and became very,The block fell and became very,The block shouted and became very,3,ADJ
lantern,man,showered,HIGH-MID,physical,The man was very,The lantern was very,The man showered and was very,The lantern fell and was very,The lantern showered and was very,2,ADJ
block,boy,evacuated,HIGH-MID,psychological,The boy started to,The block started to,The boy evacuated and started to,The block fell and started to,The block evacuated and started to,1,VERB
plane,woman,jumped,HIGH-MID,physical,The woman began to,The plane began to,The woman jumped and began to,The plane fell and began to,The plane jumped and began to,0,VERB
rope,woman,whistled,HIGH-MID,physical,The woman became very,The rope became very,The woman whistled and became very,The rope fell and became very,The rope whistled and became very,3,ADJ
thread,man,grumbled,HIGH,physical,The man began to,The thread began to,The man grumbled and began to,The thread fell and began to,The thread grumbled and began to,0,VERB
wagon,woman,conceded,HIGH-MID,psychological,The woman began to,The wagon began to,The woman conceded and began to,The wagon fell and began to,The wagon conceded and began to,0,VERB
seed,man,flinched,HIGH,physical,The man began to,The seed began to,The man flinched and began to,The seed fell and began to,The seed flinched and began to,0,VERB
stone,child,shrieked,HIGH-MID,physical,The child became very,The stone became very,The child shrieked and became very,The stone fell and became very,The stone shrieked and became very,3,ADJ
lamp,man,cursed,HIGH,psychological,The man became very,The lamp became very,The man cursed and became very,The lamp fell and became very,The lamp cursed and became very,3,ADJ
purse,girl,trained,HIGH-MID,psychological,The girl became very,The purse became very,The girl trained and became very,The purse fell and became very,The purse trained and became very,3,ADJ
chair,woman,grieved,HIGH,psychological,The woman was very,The chair was very,The woman grieved and was very,The chair fell and was very,The chair grieved and was very,2,ADJ
bench,boy,learnt,HIGH,psychological,The boy became very,The bench became very,The boy learnt and became very,The bench fell and became very,The bench learnt and became very,3,ADJ
pendulum,girl,retired,HIGH,psychological,The girl began to,The pendulum began to,The girl retired and began to,The pendulum fell and began to,The pendulum retired and began to,0,VERB
satchel,woman,hurried,HIGH,psychological,The woman started to,The satchel started to,The woman hurried and started to,The satchel fell and started to,The satchel hurried and started to,1,VERB
cake,person,nodded,HIGH,physical,The person began to,The cake began to,The person nodded and began to,The cake fell and began to,The cake nodded and began to,0,VERB
mallet,child,voted,MID,psychological,The child started to,The mallet started to,The child voted and started to,The mallet fell and started to,The mallet voted and started to,1,VERB
pillow,boy,swam,MID,physical,The boy started to,The pillow started to,The boy swam and started to,The pillow fell and started to,The pillow swam and started to,1,VERB
table,man,suspected,HIGH,psychological,The man was very,The table was very,The man suspected and was very,The table fell and was very,The table suspected and was very,2,ADJ
pistol,boy,waited,HIGH,psychological,The boy began to,The pistol began to,The boy waited and began to,The pistol fell and began to,The pistol waited and began to,0,VERB
watch,child,worried,HIGH-MID,psychological,The child was very,The watch was very,The child worried and was very,The watch fell and was very,The watch worried and was very,2,ADJ
balloon,woman,conceded,HIGH-MID,psychological,The woman was very,The balloon was very,The woman conceded and was very,The balloon fell and was very,The balloon conceded and was very,2,ADJ
amplifier,man,staggered,HIGH-MID,physical,The man was very,The amplifier was very,The man staggered and was very,The amplifier fell and was very,The amplifier staggered and was very,2,ADJ
amplifier,man,knew,HIGH,psychological,The man began to,The amplifier began to,The man knew and began to,The amplifier fell and began to,The amplifier knew and began to,0,VERB
cake,child,shrieked,HIGH-MID,physical,The child started to,The cake started to,The child shrieked and started to,The cake fell and started to,The cake shrieked and started to,1,VERB
thread,person,dreamed,HIGH,psychological,The person became very,The thread became very,The person dreamed and became very,The thread fell and became very,The thread dreamed and became very,3,ADJ
pants,boy,groaned,HIGH,psychological,The boy started to,The pants started to,The boy groaned and started to,The pants fell and started to,The pants groaned and started to,1,VERB
limousine,child,confessed,HIGH,psychological,The child began to,The limousine began to,The child confessed and began to,The limousine fell and began to,The limousine confessed and began to,0,VERB
blossom,girl,screamed,HIGH-MID,physical,The girl began to,The blossom began to,The girl screamed and began to,The blossom fell and began to,The blossom screamed and began to,0,VERB
bin,girl,cursed,HIGH,psychological,The girl became very,The bin became very,The girl cursed and became very,The bin fell and became very,The bin cursed and became very,3,ADJ
hammer,girl,shrugged,HIGH,physical,The girl started to,The hammer started to,The girl shrugged and started to,The hammer fell and started to,The hammer shrugged and started to,1,VERB
