,inanimate_story,animate_story,inanimate_subject,animate_subject,pronoun,inanimate_adjective,animate_adjective,correct_adj,action1,action2
0,"A lucky peanut had a big smile on his face. The peanut was amazed about his good fortune. Just now he had won the jackpot of two million dollars. The peanut was [target], and who could blame him.","A lucky fellow had a big smile on his face. The fellow was amazed about his good fortune. Just now he had won the jackpot of two million dollars. The fellow was [target], and who could blame him.",peanut,fellow,he,salted,elated,True,smile,amazed
1,"The weary peach looked very concerned when he heard the bad news. The peach was told that he could be fired from work. Naturally, he started to look for a new job, but none were available. The peach was [target] and made an appointment to see a therapist.","The weary waiter looked very concerned when he heard the bad news. The waiter was told that he could be fired from work. Naturally, he started to look for a new job, but none were available. The waiter was [target] and made an appointment to see a therapist.",peach,waiter,he,pitted,upset,True,concerned,told
2,"An overwhelmed blanket was drinking her second glass of wine in the bar. The blanket was glad to have some time to herself. Last week, she had been very busy at work. The blanket was [target] and ordered another glass of wine.","An overwhelmed woman was drinking her second glass of wine in the bar. The woman was glad to have some time to herself. Last week, she had been very busy at work. The woman was [target] and ordered another glass of wine.",blanket,woman,she,hand-woven,unwinding,True,drinking,glad
3,"My hard-working cactus was very happy when she heard the good news. My cactus was selected for a well-paying modeling job, and she was eager to start. Of course she had been one of many competitors. My cactus was [target], that much was clear.","My hard-working niece was very happy when she heard the good news. My niece was selected for a well-paying modeling job, and she was eager to start. Of course she had been one of many competitors. My niece was [target], that much was clear.",cactus,niece,she,planted,fortunate,True,happy,selected
4,"The handsome walnut got married on his favorite beach yesterday. The walnut was overjoyed that he had found such a lovely wife. After the ceremony, he kissed his new bride several times. The walnut was [target] there was no doubt about it.","The handsome sailor got married on his favorite beach yesterday. The sailor was overjoyed that he had found such a lovely wife. After the ceremony, he kissed his new bride several times. The sailor was [target] there was no doubt about it.",walnut,sailor,he,nutritious,jovial,True,married,overjoyed
5,"The young crayon was anxious about leaving for his trip. The crayon was trying to find ways to calm himself down. However, he could not manage to relax. The crayon was [target] and decided to never go on a trip again.","The young baker was anxious about leaving for his trip. The baker was trying to find ways to calm himself down. However, he could not manage to relax. The baker was [target] and decided to never go on a trip again.",crayon,baker,he,turquoise,distraught,True,anxious,trying
6,"A careless wildflower had just lost her savings. The wildflower was gambling too much and now all her money was gone. As a consequence, she was forced to take an extra job in order to be able to pay for rent. The wildflower was [target], and hopefully would know better next time.","A careless bachelorette had just lost her savings. The bachelorette was gambling too much and now all her money was gone. As a consequence, she was forced to take an extra job in order to be able to pay for rent. The bachelorette was [target], and hopefully would know better next time.",wildflower,bachelorette,she,pollinating,penniless,True,savings,gambling
7,"An ambitious earring was asked if she could report on the war in Afghanistan. The earring was excited because she thought it was an important mission. Clearly, she desired to go in spite of the potential dangers involved with the job. The earring was [target] and delivered a compelling story.","An ambitious reporter was asked if she could report on the war in Afghanistan. The reporter was excited because she thought it was an important mission. Clearly, she desired to go in spite of the potential dangers involved with the job. The reporter was [target] and delivered a compelling story.",earring,reporter,she,stolen,brave,True,asked,excited
8,"A newly married steak started to think about his life. The steak was fortunate to have married the woman of his dreams. And just this morning, he was told by his wife that they were expecting a baby. The steak was [target] and bought champagne to celebrate.","A newly married cadet started to think about his life. The cadet was fortunate to have married the woman of his dreams. And just this morning, he was told by his wife that they were expecting a new baby. The cadet was [target] and bought champagne to celebrate.",steak,cadet,he,undercooked,rejoicing,True,think,fortunate
9,"The lucky tile had just won a ticket for the basketball finals in a raffle at his office. The tile was keen to go to the game on his day off. To add to his fortune, he learned that he had won first row seats. The tile was [target] and he couldn’t wait to see his favorite team.","The lucky clerk had just won a ticket for the basketball finals in a raffle at his office. The clerk was keen to go to the game on his day off. To add to his fortune, he learned that he had won first row seats. The clerk was [target] and he couldn’t wait to see his favorite team.",tile,clerk,he,rectangular,exuberant,True,won,keen
