story1,story2,word1,word2
Een omaatje ontmoette op de markt een banketbakker met wie ze een gezellig gesprek begon over recepten. De banketbakker vertrouwde het omaatje op een gegeven moment een geheim recept toe. Maar het omaatje bedroog de banketbakker door zelf met het recept aan de haal te gaan. De banketbakker ontdekte het bedrog en wilde het omaatje terecht gaan wijzen. Maar het omaatje verblijdde de banketbakker juist met een nog betere versie van het recept. De banketbakker begreep dat dit het ultieme recept was en verontschuldigde zich voor het misplaatste wantrouwen.,Een omaatje ontmoette op de markt een appeltaart met wie ze een gezellig gesprek begon over recepten. De appeltaart vertrouwde het omaatje op een gegeven moment een geheim recept toe. Maar het omaatje bedroog de appeltaart door zelf met het recept aan de haal te gaan. De appeltaart ontdekte het bedrog en wilde het omaatje terecht gaan wijzen. Maar het omaatje verblijdde de appeltaart juist met een nog betere versie van het recept. De appeltaart begreep dat dit het ultieme recept was en verontschuldigde zich voor het misplaatste wantrouwen.,banketbakker,appeltaart
Een arme werkster werkte voor een zakenman die veel te weinig betaalde. En de zakenman klaagde op een dag ook nog dat de werkster haar werk niet goed deed. Maar de werkster verweet de zakenman dat hij zo slecht betaalde dat ze niet eens de huur kon betalen. De zakenman preekte dat ze blij moest zijn dat ze voor hem mocht werken. Maar de werkster verwenste de zakenman dat hij voortaan zelf mocht schoonmaken. De zakenman beloofde haar toen geschrokken een kleine opslag als ze maar zou blijven.,Een arme werkster werkte voor een toiletbril die veel te weinig betaalde. En de toiletbril klaagde op een dag ook nog dat de werkster haar werk niet goed deed. Maar de werkster verweet de toiletbril dat hij zo slecht betaalde dat ze niet eens de huur kon betalen. De toiletbril preekte dat ze blij moest zijn dat ze voor hem mocht werken. Maar de werkster verwenste de toiletbril dat hij voortaan zelf mocht schoonmaken. De toiletbril beloofde haar toen geschrokken een kleine opslag als ze maar zou blijven.,zakenman,toiletbril
"Een oud vrouwtje vroeg aan een postbode waarom het in hemelsnaam zo lang had geduurd. De postbode klaagde dat het verkeer de hele dag al ontzettend had tegengezeten. Het vrouwtje trakteerde de postbode toen maar op een kopje thee en zei dat ze toch zeeën van tijd had. De postbode vertelde dat hij zich echt heel erg had gehaast, maar dat het toch niet had mogen baten. De vrouw vergaf de postbode alles en beloofde dat ze het niet zou doorvertellen. De postbode bedankte haar en besloot voortaan nog beter zijn best te doen.","Een oud vrouwtje vroeg aan een briefkaart waarom het in hemelsnaam zo lang had geduurd. De briefkaart klaagde dat het verkeer de hele dag al ontzettend had tegengezeten. Het vrouwtje trakteerde de briefkaart toen maar op een kopje thee en zei dat ze toch zeeën van tijd had. De briefkaart vertelde dat hij zich echt heel erg had gehaast, maar dat het toch niet had mogen baten. De vrouw vergaf de briefkaart alles en beloofde dat ze het niet zou doorvertellen. De briefkaart bedankte haar en besloot voortaan nog beter zijn best te doen.",postbode,briefkaart
"Een dame vertelde aan een kapper dat ze een geheel nieuwe look wilde, inclusief permanentje, en dat er daarom dus flink wat werk aan de winkel was. Maar de kapper klaagde bedroefd over de eenzijdigheid van het bestaan want hij zag het werk helemaal niet meer zitten. De dame hielp de kapper om wat te kalmeren en vroeg wat hij dan eigenlijk wilde doen. De kapper zuchtte diep, want dat wist hij zelf ook niet. De dame troostte de kapper met de gedachte dat zulke twijfels toch maar tijdelijk zouden zijn. En de kapper bedacht zich dat hij eigenlijk wel blij mocht zijn dat hij niet een saai kantoorbaantje had.","Een dame vertelde aan een schaar dat ze een geheel nieuwe look wilde, inclusief permanentje, en dat er daarom dus flink wat werk aan de winkel was. Maar de schaar klaagde bedroefd over de eenzijdigheid van het bestaan want hij zag het werk helemaal niet meer zitten. De dame hielp de schaar om wat te kalmeren en vroeg wat hij dan eigenlijk wilde doen. De schaar zuchtte diep, want dat wist hij zelf ook niet. De dame troostte de schaar met de gedachte dat zulke twijfels toch maar tijdelijk zouden zijn. En de schaar bedacht zich dat hij eigenlijk wel blij mocht zijn dat hij niet een saai kantoorbaantje had.",kapper,schaar
Een meisje dat al heel lang op haar chinees eten had zitten wachten vroeg aan de bezorger waarom het zo lang had geduurd. De bezorger loog tegen het meisje dat de vorige klant de oorzaak was van al het oponthoud. Het meisje plaagde de bezorger dat ze nu niet hoefde te betalen omdat alles koud was geworden. Maar de bezorger dacht dat ze het meende en begon te schelden. Het meisje verwenste de bezorger boos dat hij door zijn onbeschoftheid nog eens zijn baan zou verliezen. De bezorger grinnikte dat zijn baas het lekker toch niet kon schelen en reed weer weg.,Een meisje dat al heel lang op haar chinees eten had zitten wachten vroeg aan de loempia waarom het zo lang had geduurd. De loempia loog tegen het meisje dat de vorige klant de oorzaak was van al het oponthoud. Het meisje plaagde de loempia dat ze nu niet hoefde te betalen omdat alles koud was geworden. Maar de loempia dacht dat ze het meende en begon te schelden. Het meisje verwenste de loempia boos dat hij door zijn onbeschoftheid nog eens zijn baan zou verliezen. De loempia grinnikte dat zijn baas het lekker toch niet kon schelen en reed weer weg.,bezorger,loempia
Een activiste schreeuwde boos tegen een jager tijdens haar jaarlijkse deur tot deur protestmanifestatie tegen dierenleed.  De jager verzocht de activiste  te vertrekken en zei dat het nu eenmaal familietraditie was. Maar de activiste verweet de jager dat hij met zijn traditie beschermde diersoorten in gevaar bracht. De jager probeerde uit te leggen dat het juist goed was voor het biologisch evenwicht. Maar de activiste beledigde de jager door te verklaren dat hij een gebrek had aan normen en waarden. De jager riep dat deze discussie nergens meer op sloeg en gooide de deur met een smak dicht.,Een activiste schreeuwde boos tegen een jachthoorn tijdens haar jaarlijkse deur tot deur protestmanifestatie tegen dierenleed. De jachthoorn verzocht de activiste  te vertrekken en zei dat het nu eenmaal familietraditie was. Maar de activiste verweet de jachthoorn dat hij met zijn traditie beschermde diersoorten in gevaar bracht. De jachthoorn probeerde uit te leggen dat het juist goed was voor het biologisch evenwicht. Maar de activiste beledigde de jachthoorn door te verklaren dat hij een gebrek had aan normen en waarden. De jachthoorn riep dat deze discussie nergens meer op sloeg en gooide de deur met een smak dicht.,jager,jachthoorn
Tijdens aardrijkskundeles vroeg een leerlinge aan een docent of de overhoring kon worden uitgesteld. Maar de docent luisterde niet en vroeg aan de leerlinge wat de hoofdstad was van Colombia. Het meisje smeekte de docent nogmaals om haar dit keer over te slaan. Maar de docent peinsde er niet over en vroeg haar om dan maar Colombia aan te wijzen. Het meisje verraste de docent door toch het goede land aan te wijzen. De docent gunde haar dit keer het voordeel van de twijfel en stopte met de overhoring.,Tijdens aardrijkskundeles vroeg een leerlinge aan een wereldkaart of de overhoring kon worden uitgesteld. Maar de wereldkaart luisterde niet en vroeg aan de leerlinge wat de hoofdstad was van Colombia. Het meisje smeekte de wereldkaart nogmaals om haar dit keer over te slaan. Maar de wereldkaart peinsde er niet over en vroeg haar om dan maar Colombia aan te wijzen. Het meisje verraste de wereldkaart door toch het goede land aan te wijzen. De wereldkaart gunde haar dit keer het voordeel van de twijfel en stopte met de overhoring.,docent,wereldkaart
Een vrouw vroeg advies aan een slager over hoe ze runderlapjes moest bereiden. De slager vertelde de vrouw wat de gangbare bereidingswijze was. De vrouw ondervroeg de slager ook nog over wat de beste sauzen waren en hoe ze die dan moest bereiden. De slager lachte voluit en zei dat rundvlees al lekker genoeg was van zichzelf. Maar de vrouw plaagde de slager door te zeggen dat haar kinderen niets zonder sausje wilden eten. De slager zuchtte diep en vervloekte stilletjes de jeugd van tegenwoordig.,Een vrouw vroeg advies aan een biefstuk over hoe ze runderlapjes moest bereiden. De biefstuk vertelde de vrouw wat de gangbare bereidingswijze was. De vrouw ondervroeg de biefstuk ook nog over wat de beste sauzen waren en hoe ze die dan moest bereiden. De biefstuk lachte voluit en zei dat rundvlees al lekker genoeg was van zichzelf. Maar de vrouw plaagde de biefstuk door te zeggen dat haar kinderen niets zonder sausje wilden eten. De biefstuk zuchtte diep en vervloekte stilletjes de jeugd van tegenwoordig.,slager,biefstuk
"Een toeriste vroeg aan een reisleider wat er ’s nachts zoal in de stad viel te beleven. De reisleider noemde alle bekende cafés, casino’s en disco’s op in de stad. De toeriste verzocht de reisleider om haar naar het dichtstbijzijnde casino te brengen. De reisleider waarschuwde dat het dichtstbijzijnde casino net een rovershol was. De toeriste smeekte de reisleider om haar dan als een chaperonne te vergezellen. Maar de reisleider vertelde dat hij zich altijd erg ongemakkelijk voelde in het casino en ze daarom maar iemand anders moest vragen.","Een toeriste vroeg aan een strippenkaart wat er ’s nachts zoal in de stad viel te beleven. De strippenkaart noemde alle bekende cafés, casino’s en disco’s op in de stad. De toeriste verzocht de strippenkaart om haar naar het dichtstbijzijnde casino te brengen. De strippenkaart waarschuwde dat het dichtstbijzijnde casino net een rovershol was. De toeriste smeekte de strippenkaart om haar dan als een chaperonne te vergezellen. Maar de strippenkaart vertelde dat hij zich altijd erg ongemakkelijk voelde in het casino en ze daarom maar iemand anders moest vragen.",reisleider,strippenkaart
"Een antropologe interviewde een eskimo voor haar onderzoek naar het leven in extreem koude gebieden. De eskimo vertelde de antropologe hoe het was om in vrieskou te leven. De antropologe ondervroeg de eskimo over eventuele gezondheidsgevaren. Maar de eskimo zei dat hij hogere temperaturen niet eens kon verdragen. De antropologe benijdde de eskimo om zijn uithoudingsvermogen, want ze had het intussen behoorlijk koud gekregen. De eskimo meende dat deze kou erg gezond voor hem was en bood haar een ijsberenvacht om zich mee te warmen.","Een antropologe interviewde een iglo voor haar onderzoek naar het leven in extreem koude gebieden. De iglo vertelde de antropologe hoe het was om in vrieskou te leven. De antropologe ondervroeg de iglo over eventuele gezondheidsgevaren. Maar de iglo zei dat hij hogere temperaturen niet eens kon verdragen. De antropologe benijdde de iglo om zijn uithoudingsvermogen, want ze had het intussen behoorlijk koud gekregen. De iglo meende dat deze kou erg gezond voor hem was en bood haar een ijsberenvacht om zich mee te warmen.",eskimo,iglo
Een meisje vertelde een astronaut net voor vertrek dat ze op aarde een hele droevige tijd tegemoet zou gaan. De astronaut antwoordde dat de tijd hopelijk snel voorbij zou gaan. Het meisje verraste de astronaut toen met een heel mooie foto van haar om mee te nemen. De astronaut bedankte haar en zei dat hij nu al wat droevig was. Het meisje troostte de astronaut dat ze elke dag aan hem zou denken. De astronaut antwoordde dat hij haar foto vlak bij zijn hart zou houden en dus nooit helemaal zonder haar hoefde te zijn.,Een meisje vertelde een satelliet net voor vertrek dat ze op aarde een hele droevige tijd tegemoet zou gaan. De satelliet antwoordde dat de tijd hopelijk snel voorbij zou gaan. Het meisje verraste de satelliet toen met een heel mooie foto van haar om mee te nemen. De satelliet bedankte haar en zei dat hij nu al wat droevig was. Het meisje troostte de satelliet dat ze elke dag aan hem zou denken. De satelliet antwoordde dat hij haar foto vlak bij zijn hart zou houden en dus nooit helemaal zonder haar hoefde te zijn.,astronaut,satelliet
Op een dag ontving een therapeute een matroos met emotionele problemen in haar gespreksruimte. De matroos vertrouwde de therapeute toe dat alles in het leven tegen zat en begon te huilen. De therapeute troostte de matroos door te zeggen dat zoiets iedereen wel eens overkwam. Maar de matroos twijfelde daarna of hij verder moest vertellen. De therapeute dwong de matroos om eerlijk tegen haar en vooral ook tegen zichzelf te zijn. De matroos riep luid snikkend dat hij bang voor water was.,Op een dag ontving een therapeute een zeilboot met emotionele problemen in haar gespreksruimte. De zeilboot vertrouwde de therapeute toe dat alles in het leven tegen zat en begon te huilen. De therapeute troostte de zeilboot door te zeggen dat zoiets iedereen wel eens overkwam. Maar de zeilboot twijfelde daarna of hij verder moest vertellen. De therapeute dwong de zeilboot om eerlijk tegen haar en vooral ook tegen zichzelf te zijn. De zeilboot riep luid snikkend dat hij bang voor water was.,matroos,zeilboot
"Omdat haar schuurtje gebreken vertoonde vroeg een vrouw advies aan een timmerman die een grote advertentie in de gouden gids had staan. De timmerman meende uiteraard dat de schuur aan een grondige reparatiebeurt toe was. De vrouw ondervroeg de timmerman over de kosten die bij een dergelijke reparatie kwamen kijken. De timmerman dacht even na, en noemde toen een belachelijk hoog bedrag. De vrouw verweet de timmerman onmiddellijk een bedrieglijke afzetter te zijn. De timmerman keek haar verontwaardigd aan en zei dat hij toevallig wel de beste in zijn vak was.","Omdat haar schuurtje gebreken vertoonde vroeg een vrouw advies aan een hamer die een grote advertentie in de gouden gids had staan. De hamer meende uiteraard dat de schuur aan een grondige reparatiebeurt toe was. De vrouw ondervroeg de hamer over de kosten die bij een dergelijke reparatie kwamen kijken. De hamer dacht even na, en noemde toen een belachelijk hoog bedrag. De vrouw verweet de hamer onmiddellijk een bedrieglijke afzetter te zijn. De hamer keek haar verontwaardigd aan en zei dat hij toevallig wel de beste in zijn vak was.",timmerman,hamer
"Een vrouwelijke bedrijfsarts vroeg aan een houthakker met spierpijn wat de klachten waren. De houthakker klaagde dat de spierpijn het werk zo goed als onmogelijk maakte. De bedrijfsarts verbood de houthakker om zo door te blijven werken, want zo kon het niet verder. Maar de houthakker luisterde niet en zei dat hij pijnstillers nodig had om door te kunnen werken. De bedrijfsarts bepraatte de houthakker zodat hij uiteindelijk instemde om vakantie te nemen. De houthakker zuchtte en vroeg of zij misschien een leuke bosrijke omgeving wist om een vakantie door te brengen.","Een vrouwelijke bedrijfsarts vroeg aan een betonboor met spierpijn wat de klachten waren. De betonboor klaagde dat de spierpijn het werk zo goed als onmogelijk maakte. De bedrijfsarts verbood de betonboor om zo door te blijven werken, want zo kon het niet verder. Maar de betonboor luisterde niet en zei dat hij pijnstillers nodig had om door te kunnen werken. De bedrijfsarts bepraatte de betonboor zodat hij uiteindelijk instemde om vakantie te nemen. De betonboor zuchtte en vroeg of zij misschien een leuke bosrijke omgeving wist om een vakantie door te brengen.",houthakker,betonboor
"Een gravin vroeg aan een koetsier of de paarden in goede conditie waren zodat het spoedtelegram op tijd zou komen. De koetsier verklaarde plechtig dat de paarden allemaal in topconditie waren. De gravin verplichtte de koetsier een garantie te tekenen dat hij op tijd zou zijn. Maar de koetsier zei dat hij weigerde te tekenen want hij was nog nooit te laat gekomen. De gravin overtuigde de koetsier toch om te tekenen, want anders zou hij iedere vertraging met zijn leven moeten bekopen. De koetsier besloot geschrokken om toch maar te tekenen en kwam gelukkig netjes op tijd.","Een gravin vroeg aan een zweep of de paarden in goede conditie waren zodat het spoedtelegram op tijd zou komen. De zweep verklaarde plechtig dat de paarden allemaal in topconditie waren. De gravin verplichtte de zweep een garantie te tekenen dat hij op tijd zou zijn. Maar de zweep zei dat hij weigerde te tekenen want hij was nog nooit te laat gekomen. De gravin overtuigde de zweep toch om te tekenen, want anders zou hij iedere vertraging met zijn leven moeten bekopen. De zweep besloot geschrokken om toch maar te tekenen en kwam gelukkig netjes op tijd.",koetsier,zweep
"Een aanbidster praatte na het popconcert wat na met een zanger over hoe het concert die avond was gegaan. De zanger vertelde dat alles goed was verlopen, maar ook wel erg vermoeiend. De aanbidster verleidde de zanger ertoe nog een drankje met haar te gaan drinken. De zanger lustte toch wel een flinke borrel na zo’n heftige avond. De aanbidster verraste de zanger met een fles goede whisky. De zanger grinnikte en zei dat dit veel beter spul was dan dat hij vooraf aan het concert had gedronken.","Een aanbidster praatte na het popconcert wat na met een luidspreker over hoe het concert die avond was gegaan. De luidspreker vertelde dat alles goed was verlopen, maar ook wel erg vermoeiend. De aanbidster verleidde de luidspreker ertoe nog een drankje met haar te gaan drinken. De luidspreker lustte toch wel een flinke borrel na zo’n heftige avond. De aanbidster verraste de luidspreker met een fles goede whisky. De luidspreker grinnikte en zei dat dit veel beter spul was dan dat hij vooraf aan het concert had gedronken.",zanger,luidspreker
"Een meisje vroeg advies aan haar tandarts over wat ze tegen gevoelig tandvlees moest doen. De tandarts vertelde het meisje dat ze heel gewoon beter moest poetsen. Maar het meisje bedroefde de tandarts door te zeggen dat ze alleen een elektrische tandenborstel wilde gebruiken. De tandarts gromde chagrijnig dat goed leren poetsen veel beter was. Het meisje verweet de tandarts dat hij veel te ouderwets was en zei dat hij eens met zijn tijd moest meegaan. Maar de tandarts preekte volhardend dat ze drie keer per dag vijf minuten moest poetsen, en geen seconde minder.","Een meisje vroeg advies aan haar onderkaak over wat ze tegen gevoelig tandvlees moest doen. De onderkaak vertelde het meisje dat ze heel gewoon beter moest poetsen. Maar het meisje bedroefde de onderkaak door te zeggen dat ze alleen een elektrische tandenborstel wilde gebruiken. De onderkaak gromde chagrijnig dat goed leren poetsen veel beter was. Het meisje verweet de onderkaak dat hij veel te ouderwets was en zei dat hij eens met zijn tijd moest meegaan. Maar de onderkaak preekte volhardend dat ze drie keer per dag vijf minuten moest poetsen, en geen seconde minder.",tandarts,onderkaak
"Een vrouwtje vroeg aan een poelier of het gerucht klopte dat men katten beter geen botjes kon voeren. De poelier adviseerde het vrouwtje geen botjes aan de kat te geven. Maar het vrouwtje verzekerde de poelier dat ze dat altijd al had gedaan. De poelier waarschuwde haar dat de botjes veel te hard waren. Het vrouwtje bedankte de poelier, maar vroeg of ze de botjes dan niet in kleine stukjes kon hakken. De poelier vertelde dat ze het kon proberen, maar dat kippenbotjes niet zo makkelijk klein te krijgen waren.","Een vrouwtje vroeg aan een kippenpoot of het gerucht klopte dat men katten beter geen botjes kon voeren. De kippenpoot knikte en zei dat ze beter geen botjes aan de kat kon geven. Maar het vrouwtje verzekerde de kippenpoot dat ze dat altijd al had gedaan. De kippenpoot waarschuwde haar dat de botjes veel te hard waren. Het vrouwtje bedankte de kippenpoot, maar vroeg of ze de botjes dan niet in kleine stukjes kon hakken. De kippenpoot vertelde dat ze het kon proberen, maar dat kippenbotjes niet zo makkelijk klein te krijgen waren.",poelier,kippenpoot
"Een vrouw riep tegen een vijandelijke soldaat dat ze niet zou wijken en haar dorp koste wat kost zou verdedigen. De soldaat vertelde de vrouw dreigend dat als ze niet opzij zou gaan ze het er niet levend vanaf zou brengen. De vrouw beschuldigde de soldaat van oorlogsmisdaden en zei dat hij voor het oorlogstribunaal zou moeten verschijnen. De soldaat wist hierdoor niet zo goed meer wat hij moest zeggen. De vrouw verweet de soldaat vervolgens ook nog eens een lafaard te zijn. De soldaat twijfelde even, maar maakte uiteindelijk vol schaamte rechtsomkeert.","Een vrouw riep tegen een vijandelijke mitrailleur dat ze niet zou wijken en haar dorp koste wat kost zou verdedigen. De mitrailleur vertelde de vrouw dreigend dat als ze niet opzij zou gaan ze het er niet levend vanaf zou brengen. De vrouw beschuldigde de mitrailleur van oorlogsmisdaden en zei dat hij voor het oorlogstribunaal zou moeten verschijnen. De mitrailleur wist hierdoor niet zo goed meer wat hij moest zeggen. De vrouw verweet de mitrailleur vervolgens ook nog eens een lafaard te zijn. De mitrailleur twijfelde even, maar maakte uiteindelijk vol schaamte rechtsomkeert.",soldaat,mitrailleur
"In een restaurant kreeg een dametje te horen van haar kelner dat haar rekening geblokkeerd leek te zijn. De kelner vertelde erbij dat er namelijk iedere keer weer dezelfde foutmelding werd gegeven. Het dametje dwong de kelner om het nogmaals te proberen, maar het hielp niets. De kelner probeerde het dametje te kalmeren en zei dat alles wel goed zou komen. Maar het dametje beschuldigde de kelner van sabotage terwijl zij volledig over haar toeren raakte. De kelner vergaf het dametje haar reactie, en vertelde dat ze best haar bontjas als onderpand mocht geven.","In een restaurant kreeg een dametje te horen van haar creditcard dat haar rekening geblokkeerd leek te zijn. De creditcard vertelde erbij dat er namelijk iedere keer weer dezelfde foutmelding werd gegeven. Het dametje dwong de creditcard om het nogmaals te proberen, maar het hielp niets. De kelner probeerde het dametje te kalmeren en zei dat alles wel goed zou komen. Maar het dametje beschuldigde de creditcard van sabotage terwijl zij volledig over haar toeren raakte. De creditcard vergaf het dametje haar reactie, en vertelde dat ze best haar bontjas als onderpand mocht geven.",kelner,creditcard
