story1,story2,word1,word2
A granny met the confectioner at the market with whom she started a pleasant conversation about recipes. The confectioner confided a secret recipe to the granny. But the granny deceived the confectioner by making off with the recipe herself. The confectioner discovered the deception and wanted to reprimand the granny. But the granny pleased the confectioner with an even better version of the recipe. The confectioner understood that this was the ultimate recipe and apologized for the misplaced distrust. ,A granny met the apple pie at the market with whom she started a pleasant conversation about recipes. The apple pie confided a secret recipe to the granny. But the granny deceived the apple pie by making off with the recipe herself. The apple pie discovered the deception and wanted to reprimand the granny. But the granny pleased the apple pie with an even better version of the recipe. The apple pie understood that this was the ultimate recipe and apologized for the misplaced distrust. ,confectioner,apple pie
"A poor maid worked for a businessman that paid far too little. And one day, the businessman also complained that the maid was not doing her job properly. But the maid blamed the businessman for paying so poorly that she couldn't even pay the rent. The businessman preached that she should be glad that she was allowed to work for him. But the maid told the businessman that from now on he could clean the house himself. Then, startled, the businessman promised her a small raise if only she would stay. ","A poor maid worked for a toilet seat that paid far too little. And one day, the toilet seat also complained that the maid was not doing her job properly. But the maid blamed the toilet seat for paying so poorly that she couldn't even pay the rent. The toilet seat preached that she should be glad that she was allowed to work for him. But the maid told the toilet seat that from now on he could clean the house himself. Then, startled, the toilet seat promised her a small raise if only she would stay. ",businessman,toilet seat
"An old lady asked a postman why on earth it had taken so long. The postman complained that the traffic had been extremely bad all day. The old lady treated the postman to a cup of tea and said that she had plenty of time. The postman told her he had been in a real hurry, but to no avail. The old lady forgave the postman and promised not to tell anyone. The postman thanked her and decided to try harder. ","An old lady asked a postcard why on earth it had taken so long. The postcard complained that the traffic had been extremely bad all day. The old lady treated the postcard to a cup of tea and said that she had plenty of time. The postcard told her he had been in a real hurry, but to no avail. The old lady forgave the postcard and promised not to tell anyone. The postcard thanked her and decided to try harder. ",postman,postcard
"A lady told a hairdresser that she wanted a completely new look, including a perm, and that there was therefore a lot of work to be done. But the hairdresser complained sadly about the one-sidedness of life, because he didn't like the work anymore. The lady helped the hairdresser calm down and asked him what he wanted to do. The hairdresser sighed deeply, for he did not know either. The lady consoled the hairdresser with the thought that such doubts would only be temporary. And the hairdresser thought to himself that he should be glad that he didn't have a boring office job. ","A lady told a pair of scissors that she wanted a completely new look, including a perm, and that there was therefore a lot of work to be done. But the pair of scissors complained sadly about the one-sidedness of life, because he didn't like the work anymore. The lady helped the pair of scissors calm down and asked him what he wanted to do. The pair of scissors sighed deeply, for he did not know either. The lady consoled the pair of scissors with the thought that such doubts would only be temporary. And the pair of scissors thought to himself that he should be glad that he didn't have a boring office job. ",hairdresser,pair of scissors
"A girl who had been waiting a long time for her Chinese food asked the delivery man why it had taken so long. The delivery man lied to the girl that the previous customer was the cause of the delay. The girl teased the delivery man, joking that she didn't have to pay now because everything had gone cold. But the delivery man thought she meant it and started cursing. The girl angrily scolded the delivery man, saying that he would lose his job because of his rudeness. The delivery man chuckled that his boss didn't care and drove off again. ","A girl who had been waiting a long time for her Chinese food asked the spring roll why it had taken so long. The spring roll lied to the girl that the previous customer was the cause of the delay. The girl teased the spring roll, joking that she didn't have to pay now because everything had gone cold. But the spring roll thought she meant it and started cursing. The girl angrily scolded the spring roll, saying that he would lose his job because of his rudeness. The spring roll chuckled that his boss didn't care and drove off again. ",delivery man,spring roll
"An activist shouted angrily at a hunter during her annual door-to-door protest against animal cruelty. The hunter asked the activist to leave, saying it was just family tradition. But the activist accused the hunter of endangering protected species with his tradition. The hunter tried to explain that it was actually good for the biological balance. But the activist insulted the hunter by stating that he lacked standards and values. The hunter shouted that this discussion was pointless and slammed the door with a bang. ","An activist shouted angrily at a hunting horn during her annual door-to-door protest against animal cruelty. The hunting horn asked the activist to leave, saying it was just family tradition. But the activist accused the hunting horn of endangering protected species with his tradition. The hunting horn tried to explain that it was actually good for the biological balance. But the activist insulted the hunting horn by stating that he lacked standards and values. The hunting horn shouted that this discussion was pointless and slammed the door with a bang. ",hunter,hunting horn
"During geography class, a student asked a teacher if the test could be postponed. But the teacher did not listen and asked the student what the capital of Colombia was. The girl begged the teacher again to skip her this time. But the teacher did not hesitate and asked her to point out Colombia. The girl surprised the teacher by picking the right country. The teacher gave her the benefit of the doubt this time and stopped the test. ","During geography class, a student asked a world map if the test could be postponed. But the world map did not listen and asked the student what the capital of Colombia was. The girl begged the world map again to skip her this time. But the world map did not hesitate and asked her to point out Colombia. The girl surprised the world map by picking the right country. The world map gave her the benefit of the doubt this time and stopped the test. ",teacher,world map
A woman asked a butcher for advice on how to cook beef steaks. The butcher told the woman what the common preparation method was. The woman also questioned the butcher about the best sauces and how to prepare them. The butcher laughed out loud and said that beef was tasty enough on its own. But the woman teased the butcher by saying that her kids wouldn't eat anything without sauce. The butcher sighed deeply and silently cursed the youth of today. ,A woman asked a burger for advice on how to cook beef steaks. The burger told the woman what the common preparation method was. The woman also questioned the burger about the best sauces and how to prepare them. The burger laughed out loud and said that beef was tasty enough on its own. But the woman teased the burger by saying that her kids wouldn't eat anything without sauce. The burger sighed deeply and silently cursed the youth of today. ,butcher,burger
"A tourist asked a tour guide what was going on in the city at night. The tour guide mentioned all the well-known bars, casinos and discos in the city. The tourist asked the tour guide to take her to the nearest casino. The tour guide warned that the nearest casino was like a den of robbers. The tourist begged the tour guide to accompany her as a chaperone. But the tour guide told her that he always felt very uncomfortable in the casino, so she should ask someone else. ","A tourist asked a transit card what was going on in the city at night. The transit card mentioned all the well-known bars, casinos and discos in the city. The tourist asked the transit card to take her to the nearest casino. The transit card warned that the nearest casino was like a den of robbers. The tourist begged the transit card to accompany her as a chaperone. But the transit card told her that he always felt very uncomfortable in the casino, so she should ask someone else. ",tour guide,transit card
"An anthropologist interviewed an Inuit for her research on life in extremely cold regions. The Inuit told the anthropologist what it was like to live in freezing temperatures. The anthropologist questioned the Inuit about any health hazards. But the Inuit said he couldn't even tolerate higher temperatures. The anthropologist envied the Inuit for his stamina, for she had gotten quite cold in the meantime. The Inuit believed that this cold was very healthy for him and offered her a polar bear fur to warm herself with. ","An anthropologist interviewed an igloo for her research on life in extremely cold regions. The igloo told the anthropologist what it was like to live in freezing temperatures. The anthropologist questioned the igloo about any health hazards. But the igloo said he couldn't even tolerate higher temperatures. The anthropologist envied the igloo for his stamina, for she had gotten quite cold in the meantime. The igloo believed that this cold was very healthy for him and offered her a polar bear fur to warm herself with. ",Inuit,igloo
"A girl told the astronaut just before departure that she was going to have a very sad time on earth. The astronaut replied that hopefully time would pass quickly. The girl then surprised the astronaut with a very nice picture of her to take with him. The astronaut thanked her and said that he was already a bit sad. The girl comforted the astronaut, saying that she would think of him every day. The astronaut replied that he would keep her picture close to his heart, so he would never have to be completely without her. ","A girl told the satellite just before departure that she was going to have a very sad time on earth. The satellite replied that hopefully time would pass quickly. The girl then surprised the satellite with a very nice picture of her to take with him. The satellite thanked her and said that he was already a bit sad. The girl comforted the satellite, saying that she would think of him every day. The satellite replied that he would keep her picture close to his heart, so he would never have to be completely without her. ",astronaut,satellite
One day a therapist was consulted by a sailor with emotional problems in her interview room. The sailor confided to the therapist that everything in life was difficult and began to cry. The therapist comforted the sailor by saying that this happened to everyone. But the sailor then doubted whether he should continue. The therapist advised the sailor to be honest with her and especially with himself. The sailor sobbed loudly that he was afraid of water. ,One day a therapist was consulted by a yacht with emotional problems in her interview room. The yacht confided to the therapist that everything in life was difficult and began to cry. The therapist comforted the yacht by saying that this happened to everyone. But the yacht then doubted whether he should continue. The therapist advised the yacht to be honest with her and especially with himself. The yacht sobbed loudly that he was afraid of water. ,sailor,yacht
