story,word1,word2
Een bazin ruziede met een perzik die niet hard genoeg doorwerkte. De perzik vertelde dat hij de afgelopen dagen zo hard had gewerkt dat hij nu nauwelijks meer kon. De bazin had echter geen medelijden en riep tegen de perzik dat hij zo zijn baan riskeerde. Maar de arme perzik viel echt zo wat om. De perzik was zo [target] dat hij op een gegeven moment flauwviel.,zoet,moe
"Een heel knap meisje had in een kroeg een date met een slaapzak. In de kroeg zei de slaapzak dat zij veel te mooi voor hem was. Het meisje bedankte de slaapzak, en zei dat hij er ook best mocht wezen. Maar de slaapzak klaagde dat hij nooit door iemand mooi gevonden werd. Het meisje troostte de slaapzak door te zeggen dat hij zich niets van anderen moest aantrekken, maar dat hielp niets. De slaapzak was erg [target], maar dat vond het meisje niet erg.",warm,onzeker
Een meisje had een relatie met een cactus toen ze als supermodel ging werken. De cactus vertelde gelijk al zijn familie en vrienden het goede nieuws. Het meisje vroeg ook aan de cactus of hij haar manager wilde worden. De cactus wilde dat maar al te graag want zo kon hij de hele wereld laten zien hoe mooi zijn vriendin was. De cactus was echt [target] en schepte tegen iedereen op dat hij het helemaal voor elkaar had.,apetrots,stekelig
"Het vriendinnetje van een krijtje zei hem dat ze niet lang zou wegblijven. Het krijtje zei dat ze echt niet moest vergeten te bellen als ze aan was gekomen. Het meisje vond het krijtje wat overdreven reageren en troostte hem met de gedachte dat ze aan hem zou denken. Maar ook dit hielp niet en het krijtje bleef maar doorvragen over haar reis. Het krijtje was [target], zoveel was nu wel duidelijk.",wit,bezorgd
"Een vrouw raakte op de stoep voor het casino in gesprek met een bloem die net een fortuin had verloren. De bloem zei dat hij nu geen geld meer had voor eten en voor de huur. De vrouw vroeg aan de bloem of hij dan geen inkomen had. De bloem vertelde toen dat hij ook net was ontslagen en dat zijn vrouw hem had verlaten en de kinderen had meegenomen. De bloem was heel [target], en zelfs zo radeloos dat hij op straat ging bedelen.",zielig,rood
"Een journaliste vroeg aan een creditcard of hij foto’s wilde maken van wantoestanden in een oorlogsgebied. De creditcard stemde direct in want hij vond het een belangrijke missie. Toen ze aankwamen vreesde de journaliste voor haar leven, maar de creditcard overtuigde haar van het belang van hun werk. De creditcard zei dat het hun humanitaire plicht was en het feit dat hij om het leven zou kunnen komen deed hem niks. De creditcard was [target] en maakte een heel goede fotoreportage.",gejat,moedig
"In de tram kreeg de conductrice het levensverhaal van een biefstuk aan te horen. De biefstuk vertelde al een paar jaar getrouwd te zijn met een lieve en wonderschone vrouw. Vol trots praatte de biefstuk verder over zijn baan en zijn twee kinderen. Ook had de biefstuk blijkbaar een uitgebreide en hechte familie- en vriendenkring en was hij nooit ziek. De biefstuk was erg [target], maar zijn verhaal was zo eentonig dat de conductrice chagrijnig werd.",doorbakken,gelukkig
Een vrouw vertelde aan een tegel dat ze kaartjes voor The Lord of the Dance had gekocht. De tegel bedankte haar hartelijk en zei dat hij daar al zo lang naar toe wilde gaan. De vrouw zei tegen de tegel dat ze zelfs plaatsen op de eerste rij had geregeld. De avond van de tegel kon niet meer stuk en hij bleef de vrouw maar steeds opnieuw bedanken. De tegel was [target] en zette gelijk een video op.,verheugd,vierkant
Een omaatje legde uit aan een pistool dat de kans dat de veerboot zou zinken minimaal was. Maar het pistool kon haar maar niet geloven en vroeg haar of ze dat echt zeker wist. Het omaatje vertelde aan het pistool dat op deze route nog nooit een boot was gezonken. Het pistool bleef hoe dan ook volhouden dat de kans altijd aanwezig was en dat was nou juist het probleem. Het pistool was [target] en nam een handvol angstremmers voordat ze aan boord stapten.,illegaal,doodsbang
Een meisje werd in de disco aangesproken door een bril die haar wilde versieren. De bril maakte echter de hele tijd de verkeerde opmerkingen. Daarna gooide de bril ook nog eens zijn drankje over het arme meisje heen. En alsof het niet erger kon ging de bril meerdere malen op haar voet staan. De bril was zo [target] dat hij daardoor geen schijn van kans meer maakte.,modieus,klungelig
