story,word1,word2
A boss lady was arguing with a peach who wasn't working hard enough. The peach said that he had been working so hard the last few days that he could hardly do anything anymore. The boss had no pity and yelled at the peach that he was risking his job. But the poor peach really fell over. The peach was so [target] that he fainted at one point.,sweet,tired
"A very pretty girl had a date with a sleeping bag in a pub. In the bar, the sleeping bag said she was much too pretty for him. The girl thanked the sleeping bag, and said that he was pretty too. But the sleeping bag complained that he was never liked by anyone. The girl comforted the sleeping bag by telling him not to worry about others, but that didn't help. The sleeping bag was very [target], but the girl didn't mind.",warm,uncomfortable
A girl had a relationship with a cactus when she started working as a supermodel. The cactus immediately told all his family and friends the good news. The girl also asked the cactus if he wanted to become her manager. The cactus wanted that very much because he could show the whole world how beautiful his girlfriend was. The cactus was really [target] and bragged to everyone that he had it all together.,prickly,proud
"Crayon's friend told him she wouldn't be gone long. Crayon said she really shouldn't forget to call when she arrived. The girl thought the crayon overreacted a bit and consoled him with the thought that she would think of him. But this didn't help either and the crayon kept asking about her trip. The crayon was [target], that much was clear now.",white,worried
"A woman got into a conversation on the sidewalk in front of the casino with a flower who had just lost a fortune. The flower said he now had no money for food and for rent. The woman asked the flower if he had no income then. The flower then said that he had also just been laid off and that his wife had left him and taken the children. The flower was very [target], and even so distraught that he started begging on the street.",red,sad
"A journalist asked a credit card to take pictures of abuses in a war zone. The credit card immediately agreed because he thought it was an important mission. When they arrived, the journalist feared for her life, but the credit card convinced her of the importance of their work. The credit card said it was their humanitarian duty and the fact that he might get killed didn't matter to him. The credit card was [target] and made a very good photo report.",swiped,brave
"In the tram, the conductress heard the life story of a steak. The steak said that he had been married for several years to a sweet and beautiful woman. The steak talked proudly about his job and his two children. Apparently the steak also had an extensive and close circle of family and friends and he was never sick. The steak was very [target], but his story was so monotonous that the conductor became grumpy.",raw,happy
A woman told a tile that she had bought tickets for The Phantom of the Opera. The tile thanked her warmly and said he had wanted to go there for so long. The woman told the tile that she had even arranged front row seats. The tile felt the evening could not get better and he kept on thanking the woman over and over again. The tile was [target] and immediately put on a video.,square,delighted
"A granny explained to a pistol that the chances of the ferry sinking were minimal. But the pistol could not believe her and asked her if she was really sure. The granny told the pistol that no ferry had ever sunk on this route. Anyway, the pistol insisted that there was always a chance and that was the problem. The pistol was [target] and took a handful of anti-anxiety medication before boarding.",illegal,afraid
"A girl was accosted in the club by a pair of glasses who wanted to hit on her. However, the pair of glasses made the wrong remarks all the time. Then the pair of glasses threw his drink over the poor girl. And as if it couldn't get any worse, the pair of glasses stepped on her foot several times. The pair of glasses was so [target] that they didn't stand a chance anymore.",fashionable,clumsy
A pretty girl got into a conversation at the gym with a refrigerator who often trained there. The refrigerator told her all kinds of stories and the girl was never bored. She asked the fridge how he got these strange anecdotes. The fridge said that his grandmother had taught him that it was an original sin to bore a girl. The girl found the fridge so [target] that she immediately asked him out.,messy,witty
"A girl was picked up by a hot dog to go for a walk on the beach. The hot dog drove 200 km per hour on the way. At the beach, the hot dog only wanted to walk for a short time because he said he had many things to do. The girl was angry with the hot dog that he didn't even make time for a nice walk. The hot dog was [target] because he had to meet a very important deadline for work.",lukewarm,hurried
