noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
pearl,painter,bled,MID,physical,The painter began to,The pearl began to,The painter bled and began to,The pearl fell and began to,The pearl bled and began to,0,VERB
electron,husband,answered,HIGH,psychological,The husband started to,The electron started to,The husband answered and started to,The electron fell and started to,The electron answered and started to,1,VERB
tablespoon,bookkeeper,prayed,HIGH,psychological,The bookkeeper started to,The tablespoon started to,The bookkeeper prayed and started to,The tablespoon fell and started to,The tablespoon prayed and started to,1,VERB
hose,policeman,danced,HIGH-MID,physical,The policeman started to,The hose started to,The policeman danced and started to,The hose fell and started to,The hose danced and started to,1,VERB
branch,husband,exclaimed,HIGH,psychological,The husband became very,The branch became very,The husband exclaimed and became very,The branch fell and became very,The branch exclaimed and became very,3,ADJ
stove,police officer,consented,HIGH-MID,psychological,The police officer was very,The stove was very,The police officer consented and was very,The stove fell and was very,The stove consented and was very,2,ADJ
automobile,nephew,consented,HIGH-MID,psychological,The nephew became very,The automobile became very,The nephew consented and became very,The automobile fell and became very,The automobile consented and became very,3,ADJ
ornament,executive officer,crawled,HIGH-MID,physical,The executive officer became very,The ornament became very,The executive officer crawled and became very,The ornament fell and became very,The ornament crawled and became very,3,ADJ
map,author,commented,HIGH-MID,psychological,The author was very,The map was very,The author commented and was very,The map fell and was very,The map commented and was very,2,ADJ
vase,assembler,smiled,HIGH,physical,The assembler became very,The vase became very,The assembler smiled and became very,The vase fell and became very,The vase smiled and became very,3,ADJ
cup,manager,glared,HIGH,physical,The manager started to,The cup started to,The manager glared and started to,The cup fell and started to,The cup glared and started to,1,VERB
oven,pastor,chuckled,HIGH,physical,The pastor became very,The oven became very,The pastor chuckled and became very,The oven fell and became very,The oven chuckled and became very,3,ADJ
amplifier,baker,trained,HIGH-MID,psychological,The baker began to,The amplifier began to,The baker trained and began to,The amplifier fell and began to,The amplifier trained and began to,0,VERB
rug,art director,applauded,HIGH-MID,psychological,The art director began to,The rug began to,The art director applauded and began to,The rug fell and began to,The rug applauded and began to,0,VERB
trumpet,sailor,drank,HIGH,physical,The sailor was very,The trumpet was very,The sailor drank and was very,The trumpet fell and was very,The trumpet drank and was very,2,ADJ
keg,arbitrator,stole,HIGH-MID,psychological,The arbitrator started to,The keg started to,The arbitrator stole and started to,The keg fell and started to,The keg stole and started to,1,VERB
candle,consultant,fainted,HIGH,physical,The consultant began to,The candle began to,The consultant fainted and began to,The candle fell and began to,The candle fainted and began to,0,VERB
tie,founder,struggled,HIGH-MID,psychological,The founder started to,The tie started to,The founder struggled and started to,The tie fell and started to,The tie struggled and started to,1,VERB
tire,broadcaster,shouted,HIGH,physical,The broadcaster became very,The tire became very,The broadcaster shouted and became very,The tire fell and became very,The tire shouted and became very,3,ADJ
zipper,psychotherapist,argued,HIGH-MID,psychological,The psychotherapist began to,The zipper began to,The psychotherapist argued and began to,The zipper fell and began to,The zipper argued and began to,0,VERB
tie,founder,pounced,HIGH-MID,physical,The founder became very,The tie became very,The founder pounced and became very,The tie fell and became very,The tie pounced and became very,3,ADJ
buckle,executive director,invested,MID,psychological,The executive director became very,The buckle became very,The executive director invested and became very,The buckle fell and became very,The buckle invested and became very,3,ADJ
bow,chairman,preached,HIGH,psychological,The chairman started to,The bow started to,The chairman preached and started to,The bow fell and started to,The bow preached and started to,1,VERB
street,wife,omitted,HIGH,physical,The wife began to,The street began to,The wife omitted and began to,The street fell and began to,The street omitted and began to,0,VERB
bubble,nephew,chuckled,HIGH,physical,The nephew became very,The bubble became very,The nephew chuckled and became very,The bubble fell and became very,The bubble chuckled and became very,3,ADJ
ferry,lawyer,snored,HIGH,physical,The lawyer began to,The ferry began to,The lawyer snored and began to,The ferry fell and began to,The ferry snored and began to,0,VERB
note,wife,yelled,HIGH,physical,The wife started to,The note started to,The wife yelled and started to,The note fell and started to,The note yelled and started to,1,VERB
machine,wife,cursed,HIGH,psychological,The wife began to,The machine began to,The wife cursed and began to,The machine fell and began to,The machine cursed and began to,0,VERB
thorn,broker,remembered,HIGH,psychological,The broker was very,The thorn was very,The broker remembered and was very,The thorn fell and was very,The thorn remembered and was very,2,ADJ
dagger,barber,visited,HIGH,psychological,The barber became very,The dagger became very,The barber visited and became very,The dagger fell and became very,The dagger visited and became very,3,ADJ
purse,auditor,shouted,HIGH,physical,The auditor became very,The purse became very,The auditor shouted and became very,The purse fell and became very,The purse shouted and became very,3,ADJ
suit,judge,showered,HIGH-MID,physical,The judge was very,The suit was very,The judge showered and was very,The suit fell and was very,The suit showered and was very,2,ADJ
bubble,nephew,evacuated,HIGH-MID,psychological,The nephew started to,The bubble started to,The nephew evacuated and started to,The bubble fell and started to,The bubble evacuated and started to,1,VERB
sofa,assistant director,jumped,HIGH-MID,physical,The assistant director began to,The sofa began to,The assistant director jumped and began to,The sofa fell and began to,The sofa jumped and began to,0,VERB
suitcase,geologist,whistled,HIGH-MID,physical,The geologist became very,The suitcase became very,The geologist whistled and became very,The suitcase fell and became very,The suitcase whistled and became very,3,ADJ
nightgown,anchorman,grumbled,HIGH,physical,The anchorman began to,The nightgown began to,The anchorman grumbled and began to,The nightgown fell and began to,The nightgown grumbled and began to,0,VERB
clothing,operator,conceded,HIGH-MID,psychological,The operator began to,The clothing began to,The operator conceded and began to,The clothing fell and began to,The clothing conceded and began to,0,VERB
train,boy,flinched,HIGH,physical,The boy began to,The train began to,The boy flinched and began to,The train fell and began to,The train flinched and began to,0,VERB
fiddle,auditor,shrieked,HIGH-MID,physical,The auditor became very,The fiddle became very,The auditor shrieked and became very,The fiddle fell and became very,The fiddle shrieked and became very,3,ADJ
fiddle,auditor,cursed,HIGH,psychological,The auditor became very,The fiddle became very,The auditor cursed and became very,The fiddle fell and became very,The fiddle cursed and became very,3,ADJ
pillow,entrepreneur,trained,HIGH-MID,psychological,The entrepreneur became very,The pillow became very,The entrepreneur trained and became very,The pillow fell and became very,The pillow trained and became very,3,ADJ
tire,broadcaster,grieved,HIGH,psychological,The broadcaster was very,The tire was very,The broadcaster grieved and was very,The tire fell and was very,The tire grieved and was very,2,ADJ
road,wife,learnt,HIGH,psychological,The wife became very,The road became very,The wife learnt and became very,The road fell and became very,The road learnt and became very,3,ADJ
goblet,assistant professor,retired,HIGH,psychological,The assistant professor began to,The goblet began to,The assistant professor retired and began to,The goblet fell and began to,The goblet retired and began to,0,VERB
pencil,pastor,hurried,HIGH,psychological,The pastor started to,The pencil started to,The pastor hurried and started to,The pencil fell and started to,The pencil hurried and started to,1,VERB
nightgown,anchorman,nodded,HIGH,physical,The anchorman began to,The nightgown began to,The anchorman nodded and began to,The nightgown fell and began to,The nightgown nodded and began to,0,VERB
bandage,bookkeeper,voted,MID,psychological,The bookkeeper started to,The bandage started to,The bookkeeper voted and started to,The bandage fell and started to,The bandage voted and started to,1,VERB
television,person,swam,MID,physical,The person started to,The television started to,The person swam and started to,The television fell and started to,The television swam and started to,1,VERB
phone,coach,suspected,HIGH,psychological,The coach was very,The phone was very,The coach suspected and was very,The phone fell and was very,The phone suspected and was very,2,ADJ
tie,founder,waited,HIGH,psychological,The founder began to,The tie began to,The founder waited and began to,The tie fell and began to,The tie waited and began to,0,VERB
yacht,chief of staff,worried,HIGH-MID,psychological,The chief of staff was very,The yacht was very,The chief of staff worried and was very,The yacht fell and was very,The yacht worried and was very,2,ADJ
wagon,cleaner,conceded,HIGH-MID,psychological,The cleaner was very,The wagon was very,The cleaner conceded and was very,The wagon fell and was very,The wagon conceded and was very,2,ADJ
firewood,purchaser,staggered,HIGH-MID,physical,The purchaser was very,The firewood was very,The purchaser staggered and was very,The firewood fell and was very,The firewood staggered and was very,2,ADJ
rug,art director,knew,HIGH,psychological,The art director began to,The rug began to,The art director knew and began to,The rug fell and began to,The rug knew and began to,0,VERB
phone,coach,shrieked,HIGH-MID,physical,The coach started to,The phone started to,The coach shrieked and started to,The phone fell and started to,The phone shrieked and started to,1,VERB
pistol,fisher,dreamed,HIGH,psychological,The fisher became very,The pistol became very,The fisher dreamed and became very,The pistol fell and became very,The pistol dreamed and became very,3,ADJ
overcoat,infantryman,groaned,HIGH,psychological,The infantryman started to,The overcoat started to,The infantryman groaned and started to,The overcoat fell and started to,The overcoat groaned and started to,1,VERB
disc,operator,confessed,HIGH,psychological,The operator began to,The disc began to,The operator confessed and began to,The disc fell and began to,The disc confessed and began to,0,VERB
plank,butcher,screamed,HIGH-MID,physical,The butcher began to,The plank began to,The butcher screamed and began to,The plank fell and began to,The plank screamed and began to,0,VERB
rope,grandfather,cursed,HIGH,psychological,The grandfather became very,The rope became very,The grandfather cursed and became very,The rope fell and became very,The rope cursed and became very,3,ADJ
clothing,operator,shrugged,HIGH,physical,The operator started to,The clothing started to,The operator shrugged and started to,The clothing fell and started to,The clothing shrugged and started to,1,VERB
kilt,bartender,shaved,HIGH,physical,The bartender was very,The kilt was very,The bartender shaved and was very,The kilt fell and was very,The kilt shaved and was very,2,ADJ
bubble,nephew,snarled,HIGH,psychological,The nephew was very,The bubble was very,The nephew snarled and was very,The bubble fell and was very,The bubble snarled and was very,2,ADJ
shirt,secretary of state,insisted,HIGH-MID,psychological,The secretary of state was very,The shirt was very,The secretary of state insisted and was very,The shirt fell and was very,The shirt insisted and was very,2,ADJ
pen,attorney,retired,HIGH,psychological,The attorney became very,The pen became very,The attorney retired and became very,The pen fell and became very,The pen retired and became very,3,ADJ
bomb,teacher,watched,HIGH,physical,The teacher became very,The bomb became very,The teacher watched and became very,The bomb fell and became very,The bomb watched and became very,3,ADJ
button,baker,fainted,HIGH,physical,The baker was very,The button was very,The baker fainted and was very,The button fell and was very,The button fainted and was very,2,ADJ
sculpture,founder,searched,HIGH-MID,psychological,The founder was very,The sculpture was very,The founder searched and was very,The sculpture fell and was very,The sculpture searched and was very,2,ADJ
costume,grandfather,shivered,HIGH,physical,The grandfather started to,The costume started to,The grandfather shivered and started to,The costume fell and started to,The costume shivered and started to,1,VERB
tub,bartender,hastened,HIGH-MID,psychological,The bartender began to,The tub began to,The bartender hastened and began to,The tub fell and began to,The tub hastened and began to,0,VERB
clock,judge,glared,HIGH,physical,The judge began to,The clock began to,The judge glared and began to,The clock fell and began to,The clock glared and began to,0,VERB
shirt,secretary of state,evacuated,HIGH-MID,psychological,The secretary of state began to,The shirt began to,The secretary of state evacuated and began to,The shirt fell and began to,The shirt evacuated and began to,0,VERB
oven,pastor,omitted,HIGH,physical,The pastor began to,The oven began to,The pastor omitted and began to,The oven fell and began to,The oven omitted and began to,0,VERB
plank,butcher,waited,HIGH,psychological,The butcher began to,The plank began to,The butcher waited and began to,The plank fell and began to,The plank waited and began to,0,VERB
casket,curator,recovered,HIGH-MID,physical,The curator was very,The casket was very,The curator recovered and was very,The casket fell and was very,The casket recovered and was very,2,ADJ
balloon,collector,slept,HIGH,physical,The collector became very,The balloon became very,The collector slept and became very,The balloon fell and became very,The balloon slept and became very,3,ADJ
road,wife,chuckled,HIGH,physical,The wife became very,The road became very,The wife chuckled and became very,The road fell and became very,The road chuckled and became very,3,ADJ
book,president,voted,MID,psychological,The president was very,The book was very,The president voted and was very,The book fell and was very,The book voted and was very,2,ADJ
shield,associate,applauded,HIGH-MID,psychological,The associate became very,The shield became very,The associate applauded and became very,The shield fell and became very,The shield applauded and became very,3,ADJ
stick,scientist,graduated,HIGH-MID,psychological,The scientist began to,The stick began to,The scientist graduated and began to,The stick fell and began to,The stick graduated and began to,0,VERB
blossom,test pilot,dreamed,HIGH,psychological,The test pilot started to,The blossom started to,The test pilot dreamed and started to,The blossom fell and started to,The blossom dreamed and started to,1,VERB
ship,woman,frowned,HIGH,physical,The woman was very,The ship was very,The woman frowned and was very,The ship fell and was very,The ship frowned and was very,2,ADJ
collar,researcher,groaned,HIGH,psychological,The researcher began to,The collar began to,The researcher groaned and began to,The collar fell and began to,The collar groaned and began to,0,VERB
bomb,teacher,worried,HIGH-MID,psychological,The teacher was very,The bomb was very,The teacher worried and was very,The bomb fell and was very,The bomb worried and was very,2,ADJ
trombone,teenager,panted,HIGH,physical,The teenager began to,The trombone began to,The teenager panted and began to,The trombone fell and began to,The trombone panted and began to,0,VERB
trumpet,sailor,stumbled,HIGH,physical,The sailor started to,The trumpet started to,The sailor stumbled and started to,The trumpet fell and started to,The trumpet stumbled and started to,1,VERB
flower,architect,evacuated,HIGH-MID,psychological,The architect began to,The flower began to,The architect evacuated and began to,The flower fell and began to,The flower evacuated and began to,0,VERB
